id,text_stemmed,Positive,Negative,Neutral,Compound,Sentiment,sentiment_count,final_label
13,untuk moles rumah saja tidak cukup waktu hari nah ini mau poles seperti apa tidak akan cukup waktu bertahuntahun karena yang poles sangat batas kompetensi,0,0.055,0.945,-0.1027,negatif,2,netral
16,saya bisa blokir oleh perintah yang kontrol internet seperti china atau rusia karena alas seperti langgar konten aman nasional privasi data sensitivitas budaya atau kontrol politik di indonesia perintah juga bisa,0,0.065,0.935,-0.2732,negatif,2,netral
34,kalau ulik media sosial yang sifat privat seperti pesan pribadi itu masuk ranah privasi dan lindung uu pdp no 272022 harus ada tuju akses data privat kalau tidak bisa langgar privasi,0,0.068,0.932,-0.296,negatif,2,netral
57,beli pulsa di konter gak ngaruh tapi kita tetap kena spam call karena data kita bocor,0,0.143,0.857,-0.3612,negatif,2,netral
80,demokrasi itu cuma ajar halu kamu tahu nggak sekarang banyak negara demokrasi makin hancur isu democracy is threatened makin ramai karena kalah saing sama negara otoriter rakyat negara otoriter justru makin sejahtera,0,0.088,0.912,-0.4588,negatif,2,netral
88,judul ektp cuma alas untuk anggar aja fungsi masih sama kayak ktp lama yang laminating,0,0.13,0.87,-0.2732,negatif,2,netral
109,laku umkm yang belum hanya jual offline kini bisa masuk ke dunia digital berkat bimbing dan dukung,0,0.086,0.914,-0.128,negatif,2,netral
143,tepat dengan acara kuat budaya anti korupsi dalam rangka hakordia 2024 kerja tinggi tanpa korupsi pada selasa 1712 menkomdigi meutya hafid tegas peran transformasi digital dalam berantas korupsi di indonesia digitalisasi bukan hanya soal teknologi,0,0.063,0.937,-0.3182,negatif,2,netral
164,anak abah tidak ajar dari anies yang jadi anggota pemuda pancasila makanya doyan guilt tripping pilih 02 meski orang dalam ada duka,0,0.091,0.909,-0.2732,negatif,2,netral
169,pilar lima demokrasi memang mesti jaga dan kuat selalu check and balance komentar mereka juga hak media online yang tahan bisa jadi contoh ini agenda hambat maju ada titip anti kritik dan anti kompetisi di muat ruu siar,0.068,0.108,0.824,-0.1779,negatif,3,netral
185,ini data pedulilindungi benarbenar bocor atau bagaimana dapat spam smstelepon terus,0,0.2,0.8,-0.3612,negatif,2,netral
196,tidak ada lagi bocor privasi bayang kamu sedang laku transaksi dengan data sensitif dan penting semua orang bisa lihat detail gawat kan nah seismic ini bantu kita agar semua data tetap aman dengan enkripsi tingkat tinggi gokil banget kan,0,0.036,0.964,-0.1027,negatif,2,netral
200,digitalisasi sertifikat tanah bisa jadi alas kuat untuk cegah serobot oleh mafia karena sulit palsu dan transparan tapi hasil gantung implementasi seperti verifikasi komunitas dan aman data,0,0.075,0.925,-0.2732,negatif,2,netral
201,kamu kok aneh gun bukan kasus harun mas waktu partai sedang kuasa kenapa tidak tangkap dari dulu saat partai kuasa,0,0.112,0.888,-0.34,negatif,2,netral
220,nah jika alih ke esim tapi masih ada data yang bocor apa tanggung jawab kemkomdigi cara ponsel yang dukung esim masih mahal bisa jamin tidak bakal ada lagi data bocor,0,0.046,0.954,-0.1027,negatif,2,netral
247,apa alas gibran memang belum pantas jadi pimpin nasional jangan taruh nasib bangsa dan negara kepada anak yang belum cukup umur kurang cerdas dan lainlain soal undangundang dan putus bisa ubah dan diutakatik asal ada mau dari pihak kait moga gibran cepat,0,0.049,0.951,-0.2732,negatif,2,netral
259,mandek bentuk lembaga awas uu pdp jadi kerja rumah besar perintah saat ini sementara itu rekam jejak kasus bocor data di masa lalu jadi alarm bagi semua pihak,0,0.082,0.918,-0.34,negatif,2,netral
